zh_duty,zh_name,zh_require,zh_type
"1、负责财付通网络支付业务的风险控制管理，全面管理并组织风险控制中心的有效运作；
2、根据公司总体战略目标及阶段规划，搭建互联网金融风险控制体系，推动风险管理机制;
3、主导财付通安全产品的规划设计，提升财付通国内外风控安全能力；
4、对接风控需求管理，将客户需求转换为产品需求及流程机制，进行合理的产品功能设计，并推动实施，主导产品落地实施和改进优化；
5、从风控视角对财付通业务的客户体验、商户服务、安全运营机制等进行需求分析和机制优化，为业务提出合理的安全业务建议。
",18435-风控产品经理,"本科及以上学历，财经类或法学类专业；  
5年以上工作经验，有过从零开始搭建支付/安全风控产品及应用架构实施经验者为佳； 
对国内第三方支付业务体系有深刻业务理解及技术实施经验者为佳；
从事过安全攻防相关业务，负责过千万级以上用户的安全领域产品服务者为佳。
从事过互联网相关产品工作，有复杂产品体系设计实施经验及团队搭建、管理能力；有架构师工作背景为佳；
有过大型卡组织相关工作经验者为佳。
创新思维、创业心态，有较强的跨部门推动和资源整合能力；
擅于协调、沟通，有较强的分析判断能力，逻辑思维清晰，计划及决策能力强。
",产品
"负责证券市场重大、突发事件处理、热点资讯运营；
负责内容资讯品牌栏目建设，提升内容资讯运营品质；
内容产品的输出，与技术对接、跨部门沟通交流；
其它日常运营，报道方案策划与执行。
",23486-资讯运营编辑,"本科及以上学历，英语4级以上；
对资本市场感兴趣，具体相关资讯产品运营经验，熟悉主流市场APP资讯产品；
有较强的新闻敏感性，能及时捕捉资本市场热点；
具备大事件报道统筹能力，并能独立完成大型策划方案；
具备产品思维，能对运营提出改进意见；
喜欢互联网新闻业务，工作责任心强，具备较强的执行能力和团队合作精神，有良好沟通能力。
",内容
"与招聘经理合作，负责海外人才开源工作；
深入分析目标国家人才市场，包括人才趋势与招聘渠道等；
参与海外人才见面会等项目，包括项目规划与组织等。",26832-招聘专员,"本科及以上，英文听说读写能力均优异；
有意愿从事人力资源招聘工作，思路清晰、学习能力好；
有1-3年相关工作经验优先；
有海外留学/生活经验优先。
",人力资源
"负责艺人商务合作洽谈；
负责商务谈判及合约处理签署；
合作项目对接、执行和管理；
制定艺人商务计划；
艺人衍生项目，如粉丝见面会、演唱会售卖和执行；",24548-艺人商务经纪,"本科及以上学历；3年以上相关工作经验；
有娱乐营销、4A广告公司、活动策划、时尚杂志等相关经验；
对娱乐行业有自己的认知和理解；
拥有良好的职业道德和文化素养；
具备良好的沟通协调能力、抗压能力和团队意识；",内容
"负责腾讯视频商业化变现相关产品的全流程管理，配合产品技术团队完成多项工作：包括商业化产品策略规划设计、收集客户需求、市场竞争分析、制定产品规划及落地推动等；负责视频广告产品商业化并推动产品、流程、效率优化,实现流量收益最大化；负责在项目推进过程中的跨部门协调沟通工作，协调/推动外部团队、上下游资源，协调各资源以确保产品顺利发布完成；了解行业动向、及时研究分析市场动态，跟踪搜集市场信息，分析反馈行业市场趋势",24548-商业产品经理,本科及以上；积极主动，具有较强的沟通能力、协调能力强，有较强的人际关系处理能力和亲和力；对互联网行业有一定的认识和理解，对互联网产品敏感，了解商业变现产品，计算机、广告学相关专业背景优先；逻辑能力强，拥有强烈的责任心和团队合作精神,产品
"1、负责开展腾讯云数据安全方案的顶层咨询规划设计，支持重点项目售前支持工作；
2、负责跟进对数据安全市场的产品调研和竞争分析；
3、结合公司业务，规划数据安全产品线的整体方案，并负责方案的行业推广。
",31506-数据安全专家,"1、3-5年信息安全及安全服务工作经历；
2、具有安全产品策划及需求编写经验；
3、对国内外数据安全前沿技术有充分的理解，并负责过数据安全产品及方案的行业推广工作；
3、熟悉GB20984/GB31509、IT审计、等保测评、ISO27001等国内及国际信息安全标准；
4、熟悉风险评估、安全规划、等保测评、ISMS体系咨询等实施流程；
5、熟悉金融、央企等行业信息安全标准及相关法律法规；",产品
"""1、负责在以用户增长为导向的短视频产品中，推进数据分析工作，规划搭建数据指标体系和分析体系，以强数据导向推动短视频的增长目标；
2、拆解用户增长、留存、拉新、转化、ARPU 提升等细分目标，和产品、工程、算法团队配合,深度参与短视频产品需求讨论，功能定义等，制定数据需求和策略，安排优先级；
3、深入理解业务，围绕数据分析搭建完善的数据服务，驱动业务的发展；
4、分析用户行为、趋势以及大量AB测试小流量实验结果数据，充分利用机器学习对多维数据（PV,UV,时长等）关联分析；""
",29912-数据分析-增长,"""1、本科及以上学历，计算机、统计、数学、通信等理工类相关专业；
2、熟悉数据库、数据仓库，有海量数据处理经验，熟练使用mysql和hsql
3、有扎实的编程能力和坚实的工程能力，熟悉python，hadoop, hive，spark等；
4、精通至少一门编程语言，熟练运用各种常用算法和数据结构，有独立的实现能力 ； 
5、熟悉机器学习、数据挖掘、数据分析、分布式计算至少某一方面，有较深的理论研究和实践经验优先； 
6、对数据敏感，善于从数据中发现疑点，具有推荐系统、社交、社区、短视频等相关工作经验优先；
7、熟悉增长黑客(Growth Hacking)，或对此有强烈兴趣者优先；""
",技术
"1、负责天刀手游的整体运营和发行，对产品新进、收入KPI负责；
2、根据项目运营节点，策划拉新、留存、回流运营方案，并根据产品线上反馈及数据提炼进行运营方案调整，制定游戏内功能及运营活动，并对活动进行数据分析和效果评估； 
3、熟悉产品商业化运作，能够根据项目运营节奏、运营数据及不同阶段的版本内容，规划及跟进新版本商业化内容，并根据商业化内容推动游戏其他方面的运作；并能及时评估和调优游戏内商业化结构，道具定价，付费模块等。",19407-天刀手游运营PM,"1、本科及以上学历，5年及以上游戏行业工作经验，熟悉游戏生命周期各阶段运营工作，具有优秀的团队沟通和执行能力。
2、热爱游戏，对手游有浓厚的兴趣和深入的了解；精通excel，了解数值设计，具有优秀的细节关注力和抗压能力；
3、具备优秀的自我驱动力，工作认真、细致，责任感强；有敏锐的洞察力和快速学习的能力；具备创新能力，能接受挑战；良好的沟通协调能力和团队合作精神，心态开放； 
4、有较强的文字表达能力，熟悉游戏发行流程，能独立规划和协调各个交叉模块成员的工作；具备较强的谈判能力，能够应对跨部门、跨事业群及跨公司间的合作交流；具备一定的品牌管理或营销经验。",产品
"负责游戏行业信息、国内外同行业务动态的媒体监测、数据收集和分析；
跟踪、收集、整理公司业务及同行的业务发展、财务业绩，并定期做出比较和分析报告；
协助业绩发布等相关事宜。",TZ-IR Analyst（深圳）,"经济/金融类专业硕士学历
5年以上行业/公司研究工作经验
熟识互联网行业
良好的主动沟通和项目协调能力
英语听说读写能力优
良好的PowerPoint 技能，熟练使用Word、Excel等办公软件
工作态度：勤奋认真、尽责踏实、灵活自主，具备团队沟通和合作能力
",财务
"负责微视后台推荐系统架构服务的开发、优化、维护等；
负责微视后台推荐系统逻辑。",29912-后台架构工程师,"2年以上后台开发工作经验；
熟悉Unix/Linux操作系统，精通C++开发语言，熟悉面向对象开发方法；
精通TCP/IP协议相关知识，精通网络编程，精通HTTP等网络应用协议，精通多线程多进程开发；
熟悉MYSQL或其他大型数据库，有NoSQL数据库应用经验；
熟悉Shell/Python等脚本语言；
具备大容量、高性能复杂系统的设计和架构能力；
具备推荐系统+算法模型在线预测经验者优先考虑；",技术
"负责事业群的HR政策、制度、体系与重点项目在事业部内部的落地与推动执行；
深入了解所负责领域业务与人员发展状况，评估并明确组织与人才发展对HR的需求；
驱动平台资源提供HR解决方案，并整合内部资源推动执行；
提升管理干部的人力资源管理能力，关注关键人才融入与培养，确保持续的沟通与反馈；
协助管理层进行人才管理、团队发展、组织氛围建设等，确保公司文化在所属业务领域的落地。",CDG-HRBP（深圳）,"本科及以上学历；
8年以上人力资源专业经验，至少有两个HR模块的丰富实践经验，扎实的专业功底；
优秀的个人综合素质，有较强的事业心与成就动机；
人际理解力、沟通协调和主动推动能力强，善于整合资源驱动目标达成，出色的多任务、多角色平衡能力；
有企业人力资源经理背景者优先。",人力资源
"负责节目招商变现，统筹规划节目售卖库存及售卖策略； 
能根据品牌诉求与品类特点，提供植入营销方案，支持销售提案； 
全程跟进节目策划及录制，保证客户权益落实，维护客户合作满意度； 
有效沟通，面向客户、协同部门及合作团队等，解决项目进程的问题。",24548-综艺商业制片人,"热爱综艺节目，具备3年以上节目制片经验以及相关平台经验，能够独立运行项目；一定程度了解客户营销需求并且具备一定的创意和提案能力； 
具备良好的客户服务意识及沟通能力，良好的逻辑思维及策划能力，项目的统筹与协调能力；抗压能力强； 
一定程度了解客户营销需求并且具备一定的创意和提案能力； 
具备良好的客户服务意识及沟通能力，良好的逻辑思维及策划能力，项目的统筹与协调能力；",内容
"负责前期设计分析、视觉风格设定；
参与全链路的设计工作，建立统一的UI界面设计语言；
为产品的未来发展提供前瞻性的创意设计；
参与团队的专业化建设和知识传播。",29923-高级视觉设计师,"两年以上的UI界面设计经验，对社交、工具、平台类产品有丰富的设计经验；
对设计定位、风格定义、规范执行有较深的理解；
深厚的设计理论与娴熟的设计技巧，善于捕捉流行趋势，并能推动团队的设计能力；
若有品牌设计能力或运营设计能力或动画能力为加分项；
具备良好合作态度及团队精神，富有工作激情、创新欲望和责任感。",设计
"负责游戏的整体运营规划和工作，拆分运营目标并制定对应的运营策略，对产品品质及运营目标负责；
根据项目运营节点，规划拉新、留存、回流运营方案；
负责项目收入指标，规划商业化体系和制定商业化活动方案；
根据产品线上反馈及数据提炼进行运营方案调整，评估运营效果；
负责产品体验，提出产品优化建议，推动提升游戏产品品质；
",15614-RPG游戏运营经理,"3年或以上网络游戏运营相关工作经验；
对RPG游戏品类有强烈的热情和较深的认知与体验，有品类运营经验者优先；
熟悉移动游戏生命周期各阶段运营工作，具有出色的团队沟通和执行能力；
具备优秀的游戏运营思维和数据敏感度，能根据运营数据情况，联动内外部团队，调整游戏运营策略，完成运营目标；
优秀的项目协调管理能力，能够有效处理合作执行中出现的问题，以及跨部门的沟通协调。",产品
"负责创新业务的推荐系统的整体设计，包括系统架构和算法应用；
负责创新业务的推荐系统召回/排序/多样性等模块的关键技术落地，包括点击预估和结果排序等； 
持续对系统的架构、算法进行改进和优化，提升海量数据的处理性能，提高算法迭代速度；
负责推荐团队的建设和管理。
",PCG22-推荐算法负责人,"具有个性化推荐、搜索排序、计算广告、自然语言处理等丰富的项目经验，熟悉推荐业务常用理论和算法，在多个领域（如排序模型，召回模型，用户画像，深度学习等）有3年以上实际工作经验；
扎实的机器学习基础，能够运用LR、GBDT、SVM等传统模型解决实际的业务问题，熟练掌握深度学习及其在工业界的一些典型应用案例；
熟练使用一种或几种深度学习框架（如tensorflow、caffe、mxnet、pytorch等），熟悉python、C++、scala、golang等至少一门编程语言；
硕士研究生或以上学历，机器学习、NLP、数据挖掘等相关专业优先；
能够有较好的技术结合业务思维，有较强的分析和解决问题能力，较强的工作激情和团队协作能力；
具备大型推荐系统0-1能力，有相关技术团队搭建和管理经验优先，有良好的产品sense优先。",技术
"1. 结合产品，负责QQ的营销策划和品牌推广工作;
2. 根据热门行业/节点等制定招商方案及其他创新策略；
3. 制定具体营销落地方案并推动、协调各部门完成方案落地；
4.跨部门协作及沟通，能有效协调相关公关传播、产品、运营等部门进行产品的整合营销；与外部合作伙伴建立良好的合作关系，参与其他跨部门联合项目等。",32661-营销策划,"1.热衷于互联网领域，对数据具有敏感性，并通过数据的研究、分析、思考、优化，进一步提升营销活动效果及助力业务增长； 
2.具有出色的品牌意识和整合能力，良好的项目管理能力；
3.良好的广告创意、文案策划、活动策划能力和相关工作经验；
4. 有激情，积极主动，良好的团队合作意识以及沟通能力；善于思考，勤于学习，能够承担较大挑战和压力。
",营销与公关
短视频运营相关的工作,23671-短视频运营leader,相关行业经验,产品
"负责KM平台和乐问平台日常运营工作，承担活跃度、健康度等关键KPI；
负责KM的内容运营与用户运营，结合产品特性，制定运营策略和方案；
负责各项运营计划的制定和实施，以及相关运营活动的策划设计、实施和总结；
",29316-KM-产品运营经理,"本科及以上学历，2年互联网从业经验，有社交产品运营经验者优先；
能够及时关注行业动态，了解行业最新资讯，并引发对自己产品的思考；
具备良好的用户感知，理解用户心智模型，从用户角度策划各项运营活动；
学习能力强，思维活跃，逻辑严谨，有主动思考的意识；
对数据敏感，有熟练的数据分析能力；
执行力强，结果导向，团队合作能力强
",产品
" 1、处理新闻资讯、公司重点商标、互联网金融业务等重点产品的维权和诉讼工作，包括对接业务侧的维权需求，实施侵权监测、各类侵权案件的发起和跟进等；
 2、对重点侵权做好公证取证、拟定维权策略并跟进处理行政投诉、民事诉讼等具体维权法律程序；
 3、对接业务部门，及时响应支持维权需求，并与外部合作机构保持沟通，协调、跟进和推动维权工作的有效进行；
 4、跟踪研究互联网领域新技术引发的各类侵权行为，作出法律分析，输出法律意见；
 5、处理其他日常法律事务工作。",FWZ-诉讼律师（深圳）," 1、法学院校毕业，本科及以上学历，通过司法考试；
 2、5年以上法律实务工作经验；
 3、具有较丰富的处理（审理）诉讼或投诉案件的工作经验，能独立拟定维权策略并跟进处理行政投诉、民事诉讼等具体法律程序；
 4、专业知识扎实，工作主动性高，执行力强，有服务意识和团队合作精神；
 5、有互联网行业工作经历、知识产权相关实务经验者优先。",法务
"1、负责产品的整体运营和发行，针对不同品类产品，制定差异化整体运营及发行策略，并对产品新进、收入KPI负责；
2、协调各平台资源模块，并体系化解决问题，确保所负责产品能够持续稳定的获得持续的资源环境； 3、根据项目运营节点，策划拉新、留存、回流运营方案，并根据产品线上反馈及数据提炼进行运营方案调整，制定游戏内功能及运营活动，并对活动进行数据分析和效果评估； 
4、熟悉产品商业化运作，能够根据项目运营节奏、运营数据及不同阶段的版本内容，规划及跟进新版本商业化内容，并根据商业化内容推动游戏其他方面的运作；并能及时评估和调优游戏内商业化结构，道具定价，付费模块等方面。",19407-移动游戏运营经理,"1、本科及以上学历，5年及以上游戏行业工作经验，3年及以上游戏运营工作经验，熟悉游戏生命周期各阶段运营工作，具有优秀的团队沟通和执行能力，有MMO策划或运营经验优先。
2、热爱游戏，对移动手机游戏有浓厚的兴趣和深入的了解；精通excel，了解数值设计，具有优秀的细节关注力和抗压能力；
3、具备优秀的自我驱动力，工作认真、细致，责任感强；有敏锐的洞察力和快速学习的能力；具备创新能力，能接受挑战；良好的沟通协调能力和团队合作精神，心态开放； 
4、有较强的文字表达能力，熟悉游戏发行流程，能独立规划和协调各个交叉模块成员的工作；具备较强的谈判能力，能够应对跨部门、跨事业群及跨公司间的合作交流；具备一定的品牌管理或品牌传播经验。",产品
对游戏数据相关工作负责，通过数据分析和数据挖掘，找出游戏的问题，调优建议和方向。包括但不限于： （1）监控日常游戏数据，定期输出相关结论和报告。 （2）针对游戏的数据走势，异常波动等情况，定期做出专项数据分析报告。 （3）针对新玩法/新功能/新活动的效果，进行数据分析，输出报告。 （4）定期维护数据平台的游戏数据，发现和跟进问题。 （5）一些临时性的数据需求。,19407-移动游戏数据分析,（1）热爱游戏行业，游戏体验丰富。对MMORPG品类有较多的了解。 对主流游戏的核心玩法、数值设计、经济系统、社交系统等，都有一定的了解。 （3）有成熟的数据分析和数据挖掘经验。 熟练掌握和使用excel。 至少熟练掌握一种查询工具（SQL、hive）。 至少数量掌握一种分析工具（SPSS、R语言、SAS等）。 （4）有较好的报告撰写能力。 （5） 2年以上工作经验。 （6）工作细致，耐心，有强烈的责任感。积极主动。,产品
"1. 负责移动游戏平台对接与运营，基于项目运营需求，达成新进KPI并落实和跟进执行； 
2.与手Q、微信、应用宝、外发等渠道对接，设计各自平台的活动内容；跟进活动效果，对活动形式进行持续优化；  
3.能根据项目特色与内部更多平台进行合作构思活动并跟进执行，对活动效果进行分析，并能利用平台资源优化提升活动效果； 
4.关注用户需求细节，运用一定的用户研究方法对用户需求进行提炼;运用数据分析工具对活动效果进行监控与分析；
 5.根据游戏特性和平台用户属性，负责平台上游戏社区的搭建，根据游戏所处的生命周期，制定针对性内容策略。",19407-移动游戏平台合作,"1.本科及以上学历，2年以上平台活动合作经验；
2.具有优秀的沟通能力和沟通技巧，能灵活面对各项合作事务和多线程的沟通工作；
3.具备较强的活动策划、文案能力；较强的逻辑思维能力和写总结沉淀能力；
4.工作态度认真负责，具有良好的学习能力，抗压能力强，团队合作意识强。",产品
"负责海量网络规划及自动化建设平台的web端开发工作；
负责海量网络运营支撑系统的web端开发工作
负责上述存量系统的运营支撑工作。",TEG02-Web前端开发工程师,"计算机相关专业本科及以上学历，两年以上Web相关开发工作经验；
精通Javascript语言，熟练HTML5/CSS/Ajax等web前端技术，能熟练实现良好的页面结构和布局；
熟悉一种以上主流前端框架库，如vue、angular等；
熟悉前端工程化，能够使用webpack、gulp、requireJS 等模块化、工程化工具；
追求优雅的代码风格、程序架构，有大型Web开发经验优先。",技术
"主要负责办公会议场景的产品策划工作；
1、竞品分析及行业分析，了解市场趋势，做出产品方向迭代规划；
2、对会议产品需求进行分析、调研、产品文档编写； 
3、协调和推动研发团队完成产品开发、上线及上线后持续数据和功能运营； 
4、与行业应用、销售团队等周边部门紧密沟通配合，共同促进产品的优化和推广，为运营和行业解决方案拓展提供支持。",22989-办公协同产品策划,"1、 本科学历以上，3年以上互联网公司或IT公司的工作经验，熟悉业内会议相关产品；
2、 学习能力、执行能力强，能独立完成需求落地到上线运营的全流程；
3、有产品设计和商业化包装能力，具备产品理解力，具备较强的团队协作和沟通能力，思维活跃，学习能力、抗压能力强；
4、有会议协作相关Saas、PaaS产品类产品设计经验者优先。  通过腾讯云技术认证或同等资格认证的优先录取。",产品
"负责为腾讯支付基础平台及金融应用线业务部门提供财务支撑，协助经营业绩分析、商业模式及业务流程梳理，管控方案制度及落地推动等。
",S2-FIT财务管理（深圳）,本科及以上学历，金融类、财务类，管理类专业毕业；5年以上财务分析、资源管理或预算管理相关工作经验，有金融机构工作经验者优先；具有优秀的沟通协调能力、责任心和团队合作精神；具有良好的数据分析能力和流程梳理能力；具备良好的计算机应用基础，包括精通Excel、Powerpoint；工作细致，抗压能力和责任感强，良好的沟通能力和团队合作精神。,财务
"带领团队独立完成项目测试，组织团队完成项目的品质管理工作；
维持和提升测试团队与项目组各团队之间的良好沟通；
优化、提高团队的测试效率和输出质量，发现团队、项目问题予以改善；
承担外网游戏品质责任，关注项目业绩。",21761-测试经理（上海）,"本科以上学历，有2年以上软件测试经验，有游戏测试经验者优先，具有快速熟悉业务流程和优化，并建立完善质量体系的能力；
有过带领团队独立完成项目测试工作，做好工作中的问题挖掘和改善，带领团队提升业务熟悉度和技术能力提升的经验；
优秀的执行力和抗压能力，热爱游戏测试，乐于主动反馈和积极思考；
熟悉至少一门开发或者脚本语言；
熟悉主流操作系统原理（windows、linux、android、ios）、网络协议等，有过前后端性能、安全、兼容，自动化等测试经验。",技术
"负责腾讯云支付windows桌面产品的需求开发、功能维护、性能优化等相关的开发工作；
负责腾讯云支付android平台产品的需求开发、功能维护、性能优化等相关的开发工作；",TEG14-客户端开发工程师,"有三年以上windows开发经验；有两年以上android平台开发经验；
数据结构、多线程、网络编程等基本功扎实；熟悉掌握c++/c#/java语言；
有使用WPF/QT进行应用程序开发经验；熟悉Visual Studio/Qt Creator开发工具；
掌握Android平台移动端应用开发并有成熟产品开发经验；
具有支付行业客户端产品开发经验者优先；",技术
"负责手游基础平台iTOP的后台开发；
负责内部管理端系统开发和优化；
负责跟进产品功能需求的开发与实现，与客户端对接各种需求，能独立承担整体项目开发工作。",25924-Web高级开发工程师,"计算机软件或相关专业本科以上学历，两年以上开发经验；
软件知识结构全面，基础扎实，精通常用数据结构与算法；
熟悉linux/unix等操作系统，了解Shell，能熟练使用Unix类系统下的PHP或C、C++进行编程；
熟悉MYSQL及常用优化方案，能够快速根据需求完成高性能数据库设计；
熟悉HTML/JS等技术，具有互联网Web业务开发经验；
高度的责任心、良好的沟通技巧和团队合作精神，正直进取，有上进心，热爱开发事业。
能用英文进行基本交流，具备移动互联网行业经验者优先。",技术
负责理财通产品线上产品视觉设计，基于产品现状和核心目标，负责相应的品牌及运营设计。,18427-理财通视觉设计师,"1、大学本科及以上学历，具有大型互联网平台设计经验优先，有活跃的设计思维。
2、5 - 8年以上的视觉设计工作经验，有扎实的美术功底，在品牌设计上有较强的设计经验和思路，精通PS. AI .AE .Sketch，有成熟的设计成功案例，具有较强的设计能力和审美。
3、具有良好的个人品质，耐心细致，踏实认真，能够承受较大工作压力。",设计
"1、负责证券框架、性能、安全和运营建设等架构工作
2、负责证券相关H5、小程序和App混合应用等开发工作
3、跟踪前沿技术和标准，持续性能优化，提升用户体验",23486-证券产品前端开发,"有4年及以上前端工作经验，本科及以上学历；
熟练掌握HTML(5)、CSS(3) 、SASS/LESS，了解各主流浏览器特性；
熟练掌握JavaScript(ES5/6/7)，熟练使用vue、react等类库；
熟练掌握HTTP、HTTPS；
熟悉面向对象开发思想，具有学习和掌握新技术能力；
具有NodeJS业务开发能力；
有以下工作经验者优先：
有大型Web应用开发经验优先；
有小程序开发经验优先；
有React Native、Weex开发经验优化。
",技术
"1. 为《地下城与勇士》构建宏大游戏世界观，协助《跑跑卡丁车》手游在轻IP领域的打造，在项目中主导视觉定位，产出设计方案；
2. 负责《地下城与勇士》动画第二季制作过程中的概念美术指导，与中日韩三国团队共同打造成功的游戏动画作品；协助推动国服游戏版本新增地图、角色及故事内容的设定工作；
3. 负责视频、平面、H5互动等营销素材前期创意过程中的提案草图创作；
4. 有机会与国际知名玩具开发团队合作，负责周边衍生品设计，参与开发制作环节，在大型线下搭建活动中担任美术指导；
5. 负责与对外执行团队的沟通与培养，执行过程中的品质及进度把控；",23292-互娱概念美术指导,"1. 本科或以上学历，3年以上相关行业的工作经验；
2. 具有良好的美术功底和强大的手绘能力，擅长韩式写实/卡通画风美术创作，能够快速把握产品调性，配合团队提出视觉方案；
3. 对设计有独特的见解，具有主流视觉的审美标准，热爱游戏、动漫潮流玩具周边及美术创作；
4. 积极主动，具有比较强的沟通与表达能力，能够有效指导合作团队产出高品质作品；
5. 有一定的设计能力，熟悉制作流程，关注细节，学习能力强；",设计
